SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
02000001,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,7.25,7.75,5.25,8.2,,2024
02000002,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,7.25,6.75,5.75,,,,6.6,7.25,2024
02000003,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,7.75,,,8.5,9,8,9.8,,2024
02000004,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,7.25,7.25,,,,9.4,8.5,2024
02000005,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,4.5,5,,,,9,8.75,2024
02000006,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,7.25,5.5,6,8.4,,2024
02000007,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.25,7.75,8.25,,,,9.6,7.75,2024
02000008,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,4.5,,,3.75,8.25,8,7,,2024
02000009,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.4,8,5.25,7,,,,,8.5,2024
02000010,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,7.25,6.5,7.25,9.4,,2024
02000011,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.5,,,7.25,7.5,5.75,8.8,,2024
02000012,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.5,9.25,8.5,,,,10,8.5,2024
02000013,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,7.5,,,5.75,9.5,8.5,8.6,,2024
02000014,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,8.25,7,,,,9,8.25,2024
02000015,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,5.5,,,7.25,3.75,5.25,8.2,,2024
02000016,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6,6.75,7,,,,7.8,8.75,2024
02000017,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.25,,,7.5,6,5,9.6,,2024
02000018,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,,,2.75,8.5,8.75,6.6,,2024
02000019,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.25,7.75,8,,,,8.8,8.25,2024
02000020,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.25,,,5.75,9.75,9.25,9.4,,2024
02000021,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8.25,,,4.75,8.75,7.25,9,,2024
02000022,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.75,,,6.25,8.25,7.5,,,2024
02000023,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,5.75,,,4.75,3.25,5.25,,,2024
02000024,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,6.5,7.5,5.75,6.6,,2024
02000025,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.25,6.75,7.25,,,,9,8.75,2024
02000026,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,4.5,,,8,5.25,6,8.8,,2024
02000027,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,8.75,7.75,7.75,,,,7.8,7.75,2024
02000028,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,4,,,1.25,7,4.5,6.8,,2024
02000029,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,6.25,8,,,,8.6,8,2024
02000030,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.25,,,4.75,9.25,7.75,7.8,,2024
02000031,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,,,8,8.75,5.5,,,2024
02000032,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,,,4.75,6.75,7,7.6,,2024
02000033,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,,,7,7.25,5.25,,,2024
02000034,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,5,6.75,,,,8.8,8,2024
02000035,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,5.75,9,7.5,8.6,,2024
02000036,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,5.75,,,3.75,5,4.75,,,2024
02000037,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.25,,,4,8,7.25,,,2024
02000038,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,6.25,6,6.75,8.4,,2024
02000039,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.25,8.5,8,,,,,7.75,2024
02000040,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.75,,,4.75,7.25,6.25,8.8,,2024
02000041,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,8.25,8.25,,,,9.4,9.75,2024
02000042,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,4,,,7.25,4,4.75,8.6,,2024
